task,group,method,metrics_path,config_path,is_final,note,exists,rmse,mae,nasa_score,ra,alpha_lambda_0.5,alpha_lambda_0.8,last_window_rmse,last_5_avg_rmse,best_epoch,num_parameters,latency_ms_per_sample
second,ablation,PG-STDA-SAC TLMC 0.003,outputs/second_transfer_pg_stda_tlmc_50e/pg_stda_sac_tlmc_m0p003_w0p003_50e/transfer_metrics.json,,False,,True,0.3345037386434012,0.268997472724889,67.76994584546799,0.4392469241224975,0.4080267558528428,0.057432432432432436,0.3255255070102838,0.33239071012778376,46.0,48848.0,0.1237362500035033
second,ablation,PG-STDA-SAC TLMC smooth,outputs/second_transfer_pg_stda_tlmc_50e/pg_stda_sac_tlmc_m0p001_s0p0005_w0p003_50e/transfer_metrics.json,,False,,True,0.33186885087913104,0.26647306562791745,67.65934212619833,0.44638595528419717,0.3879598662207358,0.08783783783783784,0.34121969492262205,0.34734151067610936,46.0,48848.0,0.12997117187865115
first,parameter_sensitivity,LMMD weight 0.001,outputs/first_transfer_50e/xjtu_to_reaction_wheel_stage_lmmd_w0p001_50e/transfer_metrics.json,,False,,True,0.2301997617239182,0.18322789140899357,12.843963830876266,0.5533162527197166,0.2073170731707317,0.17647058823529413,0.21845959319209746,0.2451749867920056,45.0,49104.0,0.15729187115667723
first,parameter_sensitivity,LMMD weight 0.002,outputs/first_transfer_grid_50e/psa_mcd_stage_lmmd_pseudo_time_w0p002_50e/transfer_metrics.json,,False,,True,0.21542369118840313,0.1642655521353635,11.607231404285919,0.5823533898207409,0.18292682926829268,0.25882352941176473,0.25222103140341423,0.21647815469630424,48.0,49104.0,0.09787975460017011
first,parameter_sensitivity,LMMD weight 0.003,outputs/first_transfer_50e/xjtu_to_reaction_wheel_stage_lmmd_w0p003_50e/transfer_metrics.json,,False,,True,0.2046278270765842,0.16029392413120383,11.031130128042088,0.5950489412388192,0.2073170731707317,0.2235294117647059,0.18795082195868668,0.18383186958724917,46.0,49104.0,0.1762656441655266
first,parameter_sensitivity,LMMD weight 0.005,outputs/first_transfer_grid_50e/psa_mcd_stage_lmmd_pseudo_time_w0p005_50e/transfer_metrics.json,,False,,True,0.206362249548668,0.16324419227446643,11.49903357188278,0.5888447859917711,0.3048780487804878,0.11764705882352941,0.312755372697091,0.27231027203456193,35.0,49104.0,0.09202868097607815
first,parameter_sensitivity,LMMD weight 0.03,outputs/first_transfer_50e/xjtu_to_reaction_wheel_stage_lmmd_w0p03_50e/transfer_metrics.json,,False,,True,0.21632650069794374,0.16858022930428912,11.53136632661481,0.5762467072133443,0.1951219512195122,0.1411764705882353,0.21051250755417755,0.20744386020315478,46.0,49104.0,0.13274984662334896
first,parameter_sensitivity,LMMD weight 0.1,outputs/first_transfer_50e/xjtu_to_reaction_wheel_stage_lmmd_w0p1_50e/transfer_metrics.json,,False,,True,0.22056468830303216,0.1744146012256328,12.30611633104644,0.5576340039534848,0.34146341463414637,0.058823529411764705,0.23731236921517332,0.24082136378272156,46.0,49104.0,0.13509570552089106
first,parameter_sensitivity,Source balance 0.50,outputs/first_transfer_grid_50e/psa_mcd_stage_lmmd_pseudo_time_src0p5_w0p003_50e/transfer_metrics.json,,False,,True,0.2100796519315557,0.1668772317095994,11.49457641003343,0.5795896781838723,0.25609756097560976,0.12941176470588237,0.27774694489187585,0.23644726826683204,27.0,49104.0,0.09140705521302576
second,parameter_sensitivity,Target-sup source weight 0.01,outputs/second_transfer_50e/nasa_to_satellite_battery_stage_lmmd_targetsup_src0p01_w0p0005_50e/transfer_metrics.json,,False,,True,0.19474013184121458,0.14161294791233217,40.241483793795084,0.6464645425965376,0.43478260869565216,0.31756756756756754,0.26296973241142546,0.274406399936507,13.0,48752.0,0.1389628906274254
second,parameter_sensitivity,Target-sup source weight 0.02,outputs/second_transfer_50e/nasa_to_satellite_battery_stage_lmmd_targetsup_src0p02_w0p0005_50e/transfer_metrics.json,,False,,True,0.1889589964218647,0.14065155239077284,38.607417240429385,0.6456107509499949,0.39464882943143814,0.2635135135135135,0.2143188917796071,0.23008674649021757,20.0,48752.0,0.11008007812449705
second,parameter_sensitivity,Target-sup source weight 0.05,outputs/second_transfer_50e/nasa_to_satellite_battery_stage_lmmd_targetsup_src0p05_w0p0005_50e/transfer_metrics.json,,False,,True,0.18971453058084845,0.14126197131800308,39.17240059695257,0.6446701937464312,0.4080267558528428,0.22972972972972974,0.22833920120944576,0.24238885562701143,13.0,48752.0,0.12929398437506734
second,parameter_sensitivity,SAC source balance 0.50,outputs/second_transfer_pg_stda_sac_ablations_50e/pg_stda_sac_srcsup0p5_w0p003_50e/transfer_metrics.json,,False,,True,0.3254997780911281,0.2612612545217459,66.80124387741431,0.45340317556007753,0.38461538461538464,0.037162162162162164,0.35079365238285054,0.3602372214787902,46.0,48848.0,0.14710156249577722
second,parameter_sensitivity,SAC source balance 0.65,outputs/second_transfer_pg_stda_sac_ablations_50e/pg_stda_sac_srcsup0p65_w0p003_50e/transfer_metrics.json,,False,,True,0.29077215303533577,0.23464144320740837,60.71188571523694,0.504317148533539,0.5518394648829431,0.06756756756756757,0.35194919544096026,0.35329318147614464,47.0,48848.0,0.1347021093749845
second,parameter_sensitivity,SAC source balance 0.70,outputs/second_transfer_pg_stda_sac_ablations_50e/pg_stda_sac_srcsup0p7_w0p003_50e/transfer_metrics.json,,False,,True,0.29136291471666387,0.23368809754584668,60.00562369954752,0.5077986915024061,0.4916387959866221,0.08445945945945946,0.336115010387305,0.33552770712316926,47.0,48848.0,0.16101523436873322
